Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
2000," 129,005 "," 129,667 "," 130,764 "," 131,762 "," 132,718 "," 133,230 "," 132,011 "," 132,023 "," 132,690 "," 133,249 "," 133,614 "," 133,555 ",
2001," 130,681 "," 131,348 "," 131,942 "," 132,349 "," 133,056 "," 133,435 "," 131,946 "," 131,876 "," 132,142 "," 132,344 "," 132,155 "," 131,773 ",
2002," 128,890 "," 129,362 "," 129,969 "," 130,558 "," 131,329 "," 131,711 "," 130,270 "," 130,356 "," 130,875 "," 131,546 "," 131,667 "," 131,259 ",
2003," 128,577 "," 128,994 "," 129,490 "," 130,148 "," 130,909 "," 131,239 "," 129,900 "," 129,953 "," 130,608 "," 131,401 "," 131,565 "," 131,385 ",
2004," 128,726 "," 129,337 "," 130,378 "," 131,495 "," 132,398 "," 132,843 "," 131,682 "," 131,702 "," 132,417 "," 133,398 "," 133,648 "," 133,418 ",
2005," 130,713 "," 131,536 "," 132,376 "," 133,589 "," 134,403 "," 135,071 "," 134,011 "," 134,261 "," 134,889 "," 135,617 "," 136,174 "," 135,973 ",
2006," 133,320 "," 134,245 "," 135,226 "," 136,140 "," 136,946 "," 137,448 "," 136,273 "," 136,479 "," 137,149 "," 137,849 "," 138,234 "," 138,124 ",
2007," 135,335 "," 136,026 "," 136,922 "," 137,730 "," 138,673 "," 139,177 "," 137,778 "," 137,890 "," 138,456 "," 139,198 "," 139,510 "," 139,298 ",
2008," 136,268 "," 136,787 "," 137,378 "," 137,914 "," 138,488 "," 138,683 "," 137,203 "," 137,094 "," 137,148 "," 137,442 "," 136,762 "," 135,732 ",
2009," 132,042 "," 131,808 "," 131,675 "," 131,859 "," 132,133 "," 131,950 "," 130,353 "," 130,231 "," 130,590 "," 131,188 "," 131,235 "," 130,690 ",
2010," 127,820 "," 128,255 "," 129,089 "," 130,212 "," 131,328 "," 131,448 "," 130,111 "," 130,175 "," 130,668 "," 131,641 "," 131,947 "," 131,641 ",
2011," 128,778 "," 129,592 "," 130,498 "," 131,715 "," 132,399 "," 132,889 "," 131,615 "," 131,890 "," 132,636 "," 133,558 "," 133,893 "," 133,718 ",
2012," 131,113 "," 132,067 "," 132,971 "," 133,854 "," 134,667 "," 135,005 "," 133,794 "," 134,175 "," 134,802 "," 135,649 "," 136,038 "," 135,964 ",
2013," 133,081 "," 134,120 "," 134,919 "," 135,923 "," 136,816 "," 137,226 "," 136,052 "," 136,489 "," 137,097 "," 138,019 "," 138,543 "," 138,292 ",
2014," 135,488 "," 136,230 "," 137,187 "," 138,325 "," 139,237 "," 139,824 "," 138,745 "," 139,125 "," 139,812 "," 140,866 "," 141,331 "," 141,327 ",
2015," 138,511 "," 139,343 "," 140,099 "," 141,286 "," 142,233 "," 142,717 "," 141,774 "," 141,973 "," 142,520 "," 143,689 "," 144,122 "," 144,116 ",
2016," 141,150 "," 141,992 "," 142,887 "," 143,944 ",,,,,,,,,
