"","date","nmfbai"
"1",2000-01-01,57.7
"2",2000-02-01,58.2
"3",2000-03-01,60.5
"4",2000-04-01,61.1
"5",2000-05-01,59.8
"6",2000-06-01,60.3
"7",2000-07-01,56.5
"8",2000-08-01,61.3
"9",2000-09-01,59.8
"10",2000-10-01,58.6
"11",2000-11-01,59.7
"12",2000-12-01,57.5
"13",2001-01-01,52.5
"14",2001-02-01,51.5
"15",2001-03-01,50
"16",2001-04-01,48.3
"17",2001-05-01,47.9
"18",2001-06-01,51.6
"19",2001-07-01,48.1
"20",2001-08-01,47.4
"21",2001-09-01,49.7
"22",2001-10-01,40.5
"23",2001-11-01,49.4
"24",2001-12-01,50.7
"25",2002-01-01,49.8
"26",2002-02-01,57.5
"27",2002-03-01,57.1
"28",2002-04-01,56.3
"29",2002-05-01,60.5
"30",2002-06-01,56.1
"31",2002-07-01,52.1
"32",2002-08-01,51.9
"33",2002-09-01,54.9
"34",2002-10-01,53.1
"35",2002-11-01,56.8
"36",2002-12-01,55.5
"37",2003-01-01,56.2
"38",2003-02-01,55.6
"39",2003-03-01,46.3
"40",2003-04-01,50.7
"41",2003-05-01,54.6
"42",2003-06-01,59.2
"43",2003-07-01,62.7
"44",2003-08-01,65.1
"45",2003-09-01,63.8
"46",2003-10-01,64.4
"47",2003-11-01,61.1
"48",2003-12-01,60
"49",2004-01-01,67.7
"50",2004-02-01,62.5
"51",2004-03-01,62.3
"52",2004-04-01,64
"53",2004-05-01,62.6
"54",2004-06-01,59.2
"55",2004-07-01,63.2
"56",2004-08-01,59.7
"57",2004-09-01,60
"58",2004-10-01,61
"59",2004-11-01,62.8
"60",2004-12-01,65
"61",2005-01-01,62.5
"62",2005-02-01,61.9
"63",2005-03-01,61.3
"64",2005-04-01,58.6
"65",2005-05-01,57.5
"66",2005-06-01,60.7
"67",2005-07-01,61.3
"68",2005-08-01,64.8
"69",2005-09-01,55.2
"70",2005-10-01,59.2
"71",2005-11-01,59.2
"72",2005-12-01,60.1
"73",2006-01-01,58.6
"74",2006-02-01,61.8
"75",2006-03-01,60
"76",2006-04-01,61.3
"77",2006-05-01,58.1
"78",2006-06-01,56.4
"79",2006-07-01,56.3
"80",2006-08-01,56.7
"81",2006-09-01,54.4
"82",2006-10-01,56.9
"83",2006-11-01,59.2
"84",2006-12-01,56.1
"85",2007-01-01,58.3
"86",2007-02-01,56
"87",2007-03-01,52.8
"88",2007-04-01,56.1
"89",2007-05-01,58.1
"90",2007-06-01,60.1
"91",2007-07-01,57.1
"92",2007-08-01,55.7
"93",2007-09-01,54.2
"94",2007-10-01,55.1
"95",2007-11-01,55.7
"96",2007-12-01,53.2
"97",2008-01-01,41.9
"98",2008-02-01,52.2
"99",2008-03-01,51.7
"100",2008-04-01,51.1
"101",2008-05-01,53.3
"102",2008-06-01,50.2
"103",2008-07-01,51
"104",2008-08-01,51.1
"105",2008-09-01,50.4
"106",2008-10-01,43.8
"107",2008-11-01,34.2
"108",2008-12-01,38.3
"109",2009-01-01,44.1
"110",2009-02-01,40.6
"111",2009-03-01,42.8
"112",2009-04-01,45
"113",2009-05-01,43.1
"114",2009-06-01,50.1
"115",2009-07-01,47
"116",2009-08-01,52.1
"117",2009-09-01,53.8
"118",2009-10-01,55
"119",2009-11-01,50.9
"120",2009-12-01,53
"121",2010-01-01,51.5
"122",2010-02-01,53
"123",2010-03-01,57.7
"124",2010-04-01,59.8
"125",2010-05-01,61.3
"126",2010-06-01,59.4
"127",2010-07-01,57.4
"128",2010-08-01,55.8
"129",2010-09-01,53.3
"130",2010-10-01,59.7
"131",2010-11-01,59.1
"132",2010-12-01,62.2
"133",2011-01-01,61.7
"134",2011-02-01,63.9
"135",2011-03-01,58.5
"136",2011-04-01,56.9
"137",2011-05-01,54.9
"138",2011-06-01,56.2
"139",2011-07-01,56.3
"140",2011-08-01,55.7
"141",2011-09-01,56.1
"142",2011-10-01,54
"143",2011-11-01,56.1
"144",2011-12-01,56
"145",2012-01-01,58.7
"146",2012-02-01,60.7
"147",2012-03-01,59.2
"148",2012-04-01,55.8
"149",2012-05-01,56
"150",2012-06-01,55.3
"151",2012-07-01,55.3
"152",2012-08-01,53.8
"153",2012-09-01,59
"154",2012-10-01,56.1
"155",2012-11-01,60.7
"156",2012-12-01,60.8
"157",2013-01-01,56.4
"158",2013-02-01,57.4
"159",2013-03-01,57.9
"160",2013-04-01,55.5
"161",2013-05-01,56.5
"162",2013-06-01,55.5
"163",2013-07-01,57.9
"164",2013-08-01,58.6
"165",2013-09-01,54.6
"166",2013-10-01,58.8
"167",2013-11-01,55.2
"168",2013-12-01,55.4
"169",2014-01-01,56.4
"170",2014-02-01,56.1
"171",2014-03-01,55.1
"172",2014-04-01,60.2
"173",2014-05-01,61.4
"174",2014-06-01,59.9
"175",2014-07-01,60.2
"176",2014-08-01,61.7
"177",2014-09-01,61.9
"178",2014-10-01,59.5
"179",2014-11-01,64.4
"180",2014-12-01,59.1
"181",2015-01-01,61.3
"182",2015-02-01,60.1
"183",2015-03-01,59
"184",2015-04-01,61.3
"185",2015-05-01,59.9
"186",2015-06-01,61.5
"187",2015-07-01,63.4
"188",2015-08-01,62.3
"189",2015-09-01,60.1
"190",2015-10-01,61.8
"191",2015-11-01,59.4
"192",2015-12-01,59.5
"193",2016-01-01,53.9
"194",2016-02-01,57.8
"195",2016-03-01,59.8
"196",2016-04-01,58.8
